#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 02 16 51 999 99.0 99.0  2.56  9.88  6.37  73 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 17 21 999 99.0 99.0  2.63 10.53  6.48  66 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 17 51 999 99.0 99.0  2.42  9.88  6.26  56 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 18 21 999 99.0 99.0  2.56  9.88  6.41  50 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 18 51 999 99.0 99.0  2.57  9.09  6.31  71 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 19 21 999 99.0 99.0  2.53  9.09  6.18  70 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 19 51 999 99.0 99.0  2.71 10.53  6.34  47 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 20 21 999 99.0 99.0  2.78 10.53  6.65  60 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 20 51 999 99.0 99.0  2.69  9.88  6.46  21 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 21 21 999 99.0 99.0  2.55  9.88  6.41  29 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 22 21 999 99.0 99.0  2.52  9.09  6.35  15 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 22 51 999 99.0 99.0  2.84  9.09  6.78  24 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 23 51 999 99.0 99.0  2.69 10.53  6.45  69 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 00 51 999 99.0 99.0  2.65  8.33  6.52  32 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 03 01 21 999 99.0 99.0  2.63  9.09  6.76  24 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 03 02 51 999 99.0 99.0  2.70  9.09  6.80  26 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 03 21 999 99.0 99.0  2.89  9.09  6.74  32 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 03 51 999 99.0 99.0  3.22  8.33  6.84  42 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 04 21 999 99.0 99.0  3.50  9.09  7.16  54 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 04 51 999 99.0 99.0  3.22  7.69  6.90  54 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 05 21 999 99.0 99.0  2.93  8.33  6.76  43 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 06 21 999 99.0 99.0  3.19  9.09  6.98  53 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 06 51 999 99.0 99.0  3.10  9.09  6.98  53 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 07 21 999 99.0 99.0  3.31 10.53  6.90  76 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 07 51 999 99.0 99.0  2.97  8.33  6.64  47 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 08 21 999 99.0 99.0  3.03  8.33  6.84  47 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 08 51 999 99.0 99.0  3.22 10.53  7.12  73 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 09 21 999 99.0 99.0  2.86  9.88  6.92  49 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 10 21 999 99.0 99.0  2.78  9.88  6.78  66 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 10 51 999 99.0 99.0  3.18  9.88  7.11  50 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 11 21 999 99.0 99.0  2.99  9.09  7.03  50 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 11 51 999 99.0 99.0  2.83  9.09  7.20  35 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 12 21 999 99.0 99.0  2.76  9.09  7.21  45 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 12 51 999 99.0 99.0  2.92  9.88  7.20  35 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 13 21 999 99.0 99.0  3.02  9.09  7.29  39 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 14 21 999 99.0 99.0  3.08  9.09  7.36  28 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 14 51 999 99.0 99.0  3.00  9.09  7.27  28 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 15 21 999 99.0 99.0  2.91  9.09  7.25  32 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 15 51 999 99.0 99.0  2.76 10.53  7.08  52 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 16 21 999 99.0 99.0  2.99  9.09  7.37  38 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 16 51 999 99.0 99.0  2.97 10.53  7.24  36 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 17 21 999 99.0 99.0  2.78  9.88  7.03  46 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 18 21 999 99.0 99.0  2.78  9.88  7.00  63 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 18 51 999 99.0 99.0  2.89  8.33  7.02  52 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 19 21 999 99.0 99.0  2.83  9.88  6.99  45 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 19 51 999 99.0 99.0  2.93  9.09  7.17  42 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 03 20 51 999 99.0 99.0  2.87  9.09  7.05  42 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 21 21 999 99.0 99.0  2.87  9.09  6.95  50 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 22 21 999 99.0 99.0  2.77 10.53  6.94  49 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 03 22 51 999 99.0 99.0  2.62  9.09  6.77  42 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 23 21 999 99.0 99.0  2.76 10.53  7.00  49 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 03 23 51 999 99.0 99.0  2.84 11.11  7.00  61 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 00 21 999 99.0 99.0  2.70 10.53  7.05  70 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 00 51 999 99.0 99.0  2.91  9.88  7.33  59 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 01 21 999 99.0 99.0  2.78  9.88  7.13  36 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 01 51 999 99.0 99.0  2.65  9.09  7.22  32 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 02 21 999 99.0 99.0  2.69  8.33  7.10  40 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 02 51 999 99.0 99.0  2.46 10.53  6.93  57 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 03 21 999 99.0 99.0  2.70 10.53  7.09  38 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 03 51 999 99.0 99.0  2.75  9.88  7.33  54 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 04 51 999 99.0 99.0  2.56  9.09  7.04  52 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 05 21 999 99.0 99.0  2.52  9.88  7.02  56 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 06 21 999 99.0 99.0  2.28 10.53  6.70  54 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 06 51 999 99.0 99.0  2.45 10.53  7.16  40 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 07 21 999 99.0 99.0  2.60  9.88  7.11  52 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 08 51 999 99.0 99.0  2.22 11.11  6.71  53 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 09 21 999 99.0 99.0  2.50 11.76  7.45  60 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 10 21 999 99.0 99.0  2.53 11.11  7.12  57 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 10 51 999 99.0 99.0  2.44 10.53  7.11  69 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 11 51 999 99.0 99.0  2.57 11.11  7.26  61 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 12 51 999 99.0 99.0  2.61  9.88  7.18  67 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 13 21 999 99.0 99.0  2.51  9.09  7.13  67 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 14 51 999 99.0 99.0  2.48 10.53  7.49  57 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 15 21 999 99.0 99.0  2.45 10.53  7.25  50 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 04 15 51 999 99.0 99.0  2.74  9.88  7.60  66 9999.0 999.0  27.6 999.0 99.0 99.00
